pH,Turbidity,Diarrhea,Vomiting,Fever,Skin_Rash,Jaundice,Stomach_Pain,Label
5.12,9.66,0,0,0,0,0,0,Fungi
5.85,0.71,0,0,0,0,0,0,None
8.24,91.89,0,0,0,0,0,1,Salmonella
6.2,4.83,0,0,1,0,0,0,None
5.77,2.28,0,0,0,0,0,0,None
4.95,12.25,0,0,0,1,0,0,Fungi
4.33,9.22,0,0,0,0,0,0,Fungi
9.29,6.64,0,0,0,0,0,0,Sulfate-Reducing Bacteria
5.81,8.91,1,0,0,0,0,0,Protozoa
9.9,9.36,0,0,0,0,0,0,Sulfate-Reducing Bacteria
7.38,14.96,1,0,0,0,0,1,E. coli
9.27,0.42,0,0,0,0,0,0,Sulfate-Reducing Bacteria
6.39,80.91,1,1,0,0,0,1,Vibrio cholerae
8.92,5.17,0,0,1,0,0,0,None
5.65,60.0,1,0,0,0,0,0,Protozoa
7.67,0.41,0,0,0,0,0,0,None
4.12,5.81,1,1,0,0,0,1,Vibrio cholerae
8.63,22.29,1,1,0,0,0,1,Vibrio cholerae
4.17,10.65,1,1,0,1,0,1,Vibrio cholerae
7.5,0.97,0,0,0,0,0,0,None
7.02,4.1,0,0,0,0,0,0,None
5.85,4.4,0,0,0,0,0,0,None
8.4,21.08,1,1,0,0,0,1,Vibrio cholerae
6.98,14.2,1,0,0,0,0,1,E. coli
4.28,11.69,0,0,0,0,0,0,Fungi
8.21,14.61,1,0,0,0,0,1,E. coli
6.09,91.38,1,1,0,0,0,1,E. coli
6.14,10.31,1,0,0,0,0,0,Protozoa
9.07,69.47,1,1,0,0,0,1,Vibrio cholerae
6.15,2.02,0,0,0,0,1,0,Hepatitis A/E
5.65,6.67,1,0,0,0,0,1,E. coli
5.23,13.41,0,0,0,0,0,0,Fungi
6.93,66.92,1,1,0,0,0,0,Viruses
8.24,12.69,1,0,0,0,0,1,E. coli
8.73,3.9,0,0,1,0,0,0,None
7.93,8.7,1,1,1,0,0,1,Salmonella
6.65,0.87,0,0,0,0,0,0,None
5.61,8.84,1,0,0,0,0,0,Protozoa
5.76,5.89,1,0,0,0,0,0,Protozoa
9.23,2.24,0,0,0,0,0,0,Sulfate-Reducing Bacteria
9.35,10.66,1,1,0,0,0,1,Vibrio cholerae
9.82,10.09,0,0,0,0,0,0,Sulfate-Reducing Bacteria
6.51,5.38,1,0,0,0,0,0,Protozoa
5.98,88.07,1,0,0,0,0,1,E. coli
4.56,6.02,0,0,0,0,0,0,Fungi
9.74,7.53,1,0,1,0,0,1,Salmonella
9.09,87.87,0,0,1,0,1,0,Hepatitis A/E
6.8,8.37,1,1,0,0,0,1,Vibrio cholerae
6.07,2.54,0,0,0,0,0,0,None
9.32,0.44,0,0,0,0,0,0,Sulfate-Reducing Bacteria
9.2,7.29,1,1,0,0,0,1,Vibrio cholerae
9.49,5.87,0,0,0,0,0,0,Sulfate-Reducing Bacteria
5.63,3.12,0,0,0,0,0,0,None
7.03,99.33,1,0,0,0,0,1,E. coli
6.81,12.57,1,0,0,0,0,1,E. coli
5.72,4.87,1,1,0,0,0,1,Vibrio cholerae
7.35,27.62,1,0,0,0,0,1,E. coli
5.05,11.43,0,0,0,0,0,0,Fungi
5.83,41.2,1,1,0,0,0,1,E. coli
5.79,4.18,0,0,0,0,0,0,None
5.52,14.78,1,1,0,0,0,1,Vibrio cholerae
7.91,7.5,1,0,0,1,0,1,Cyanobacteria
4.71,3.08,1,1,0,0,0,1,Vibrio cholerae
9.23,20.3,0,0,0,0,0,0,Sulfate-Reducing Bacteria
7.38,1.99,0,0,0,0,0,0,None
9.98,4.6,0,0,0,0,0,0,Sulfate-Reducing Bacteria
6.22,1.94,0,0,1,0,0,0,None
9.64,15.14,0,0,0,0,0,0,Sulfate-Reducing Bacteria
8.0,11.3,1,1,0,0,0,1,E. coli
8.73,6.96,0,0,0,0,0,0,None
8.87,9.46,0,0,0,0,0,0,None
4.51,83.46,0,0,0,1,0,0,Fungi
5.59,20.27,1,0,0,0,0,0,Protozoa
9.09,69.17,0,0,1,0,1,0,Hepatitis A/E
9.66,53.84,0,0,0,0,0,0,Sulfate-Reducing Bacteria
9.19,14.16,0,0,0,0,0,0,Sulfate-Reducing Bacteria
9.72,9.78,0,0,0,0,0,0,Sulfate-Reducing Bacteria
4.24,9.07,0,0,0,1,0,0,Fungi
9.95,12.07,1,1,0,0,0,1,Vibrio cholerae
9.05,2.66,0,0,0,0,0,0,Sulfate-Reducing Bacteria
5.87,2.04,0,0,0,0,0,0,None
5.58,6.26,1,0,0,0,0,1,E. coli
6.99,1.92,0,0,0,0,0,1,None
8.74,1.34,0,0,0,0,0,0,None
6.57,14.42,1,1,0,0,0,0,Viruses
7.2,2.22,0,0,0,0,0,0,None
4.18,12.78,0,0,0,0,0,0,Fungi
8.76,10.44,0,0,1,0,0,0,None
6.16,10.79,1,1,0,0,0,1,E. coli
5.65,11.3,1,0,0,0,0,1,E. coli
8.24,11.23,1,0,0,0,0,1,E. coli
7.01,63.03,1,1,0,0,0,1,Vibrio cholerae
6.01,9.0,1,1,1,0,0,1,Salmonella
8.0,56.59,0,0,0,0,1,0,Hepatitis A/E
9.1,12.27,1,0,1,0,0,1,Salmonella
5.25,1.79,0,0,0,0,0,0,Fungi
6.73,11.81,1,1,0,0,0,0,Viruses
9.58,7.07,1,0,1,0,0,1,Salmonella
8.06,24.5,1,1,0,0,0,1,Vibrio cholerae
