diarrhea,vomiting,fever,stomach_pain,nausea,weakness,headache,jaundice,dark_urine,dehydration,rash,body_pain,blood_stool,loss_appetite,pH,turbidity,possible_microorganisms
0,0,0,1,1,1,0,0,1,0,0,1,1,1,8.4,14.6,"Hepatitis A virus,Shigella spp.,E. coli,Giardia lamblia"
0,1,1,0,1,0,0,0,1,0,0,0,0,0,5.9,11.9,"Salmonella typhi,Hepatitis A virus,Giardia lamblia"
0,0,0,1,0,1,0,1,0,1,1,1,0,1,5.8,0.7,"Hepatitis A virus,Shigella spp.,Pseudomonas"
0,1,1,1,1,0,1,1,1,1,1,0,1,0,6.7,5.1,"Vibrio cholerae,Hepatitis A virus,E. coli,Pseudomonas"
0,0,1,1,0,1,0,1,0,1,1,1,1,0,5.5,5.4,"Hepatitis A virus,Shigella spp.,E. coli,Giardia lamblia,Leptospira,Pseudomonas"
0,1,1,0,1,0,0,1,1,0,1,0,0,0,5.2,0.2,"Hepatitis A virus,Pseudomonas"
1,1,1,0,1,1,0,0,1,0,0,1,1,1,7.2,13.4,"Hepatitis A virus,Shigella spp.,E. coli,Giardia lamblia,Leptospira,Cryptosporidium"
0,1,1,0,0,1,1,0,0,0,1,0,1,1,6.1,0.3,"Shigella spp.,Pseudomonas"
1,0,1,1,1,1,0,0,1,1,0,1,1,0,8.2,11.3,"Salmonella typhi,Hepatitis A virus,Shigella spp.,Giardia lamblia,Leptospira,Cryptosporidium"
0,0,1,0,1,0,1,1,0,1,1,0,1,1,7.9,1.4,"Hepatitis A virus,Shigella spp.,Pseudomonas"
0,1,1,1,1,1,0,0,0,0,0,0,1,0,6.8,14.2,"Vibrio cholerae,Salmonella typhi,Hepatitis A virus,E. coli,Giardia lamblia"
0,0,0,0,0,0,1,1,1,0,0,0,1,1,7.6,14.7,"Salmonella typhi,Hepatitis A virus,Shigella spp."
0,0,1,0,0,1,0,1,0,1,0,1,0,0,8.7,9.3,"Salmonella typhi,Hepatitis A virus,Leptospira"
1,1,1,1,1,0,1,0,1,1,1,0,1,0,7.0,9.0,"Salmonella typhi,Hepatitis A virus,Shigella spp.,E. coli,Pseudomonas,Cryptosporidium"
0,1,0,0,1,1,1,1,0,0,1,0,1,0,5.9,11.8,"Vibrio cholerae,Salmonella typhi,Hepatitis A virus,Shigella spp.,Pseudomonas"
1,1,1,1,1,1,0,1,1,0,0,0,0,1,6.0,4.2,"Salmonella typhi,Hepatitis A virus,Shigella spp.,Giardia lamblia"
1,1,1,1,1,0,0,1,0,0,0,1,0,0,5.6,13.8,"Salmonella typhi,Hepatitis A virus,Shigella spp.,E. coli,Giardia lamblia,Leptospira"
1,1,1,1,1,0,0,0,0,0,0,1,0,1,5.9,1.0,"Hepatitis A virus,Leptospira"
0,0,0,1,0,0,0,0,0,0,0,1,1,0,6.0,10.6,"Shigella spp.,E. coli,Giardia lamblia"
1,1,0,1,1,0,0,1,0,1,0,0,0,0,5.9,1.4,"Hepatitis A virus,Shigella spp."
0,1,1,0,1,0,1,0,1,1,0,0,0,1,8.3,3.2,"Salmonella typhi,Hepatitis A virus,Giardia lamblia"
0,1,1,0,0,0,0,0,0,0,1,1,1,1,8.8,10.7,Leptospira
0,1,0,1,0,0,0,1,0,0,0,0,1,0,7.2,8.9,"Hepatitis A virus,Giardia lamblia"
0,1,0,0,0,1,0,1,1,1,0,0,1,1,6.2,4.0,Salmonella typhi
0,0,0,1,0,1,0,0,0,0,0,1,0,1,6.7,1.2,Shigella spp.
1,0,1,0,1,0,1,1,1,0,0,1,1,0,7.4,4.8,"Salmonella typhi,Hepatitis A virus,Shigella spp.,Giardia lamblia,Leptospira"
1,0,0,0,1,1,1,0,1,0,1,1,1,0,5.4,11.5,"Vibrio cholerae,Salmonella typhi,Shigella spp.,E. coli,Giardia lamblia,Pseudomonas,Cryptosporidium"
1,0,0,1,1,1,1,1,0,1,1,1,1,1,5.1,7.9,"Vibrio cholerae,Salmonella typhi,Hepatitis A virus,Shigella spp.,E. coli,Giardia lamblia,Pseudomonas,Cryptosporidium"
0,0,1,0,1,1,1,1,1,1,0,1,1,0,7.4,14.7,"Salmonella typhi,Shigella spp.,Giardia lamblia,Leptospira"
0,0,0,1,0,1,1,1,1,0,0,1,1,1,7.7,2.4,"Salmonella typhi,Hepatitis A virus,Shigella spp."
0,1,0,0,1,0,1,0,0,1,1,0,1,0,7.9,4.3,"Salmonella typhi,Hepatitis A virus,Shigella spp.,Giardia lamblia,Pseudomonas"
